,Date,User,Minutes,Ticket,Code,Billable
0,2022-07-01,chiverton-john,44.45,006217,dev,True
1,2022-07-01,patrick.kimber,13.37,001907,admin,False
2,2022-07-01,patrick.kimber,1.42,000343,review,False
3,2022-07-01,patrick.kimber,5.40,005829,sys-admin,False
4,2022-07-01,patrick.kimber,0.53,006107,sys-admin,False
5,2022-07-01,patrick.kimber,3.27,006245,sys-admin,True
6,2022-07-01,patrick.kimber,3.58,006249,sys-admin,True
7,2022-07-01,patrick.kimber,12.02,006248,email,True
8,2022-07-01,chiverton-john,33.98,006217,dev,True
9,2022-07-01,patrick.kimber,4.77,006249,sys-admin,True
10,2022-07-01,patrick.kimber,20.95,006248,email,True
11,2022-07-01,chiverton-john,1.28,006217,review,True
12,2022-07-01,chiverton-john,50.73,006217,dev,True
13,2022-07-01,patrick.kimber,3.08,001907,accounts,False
14,2022-07-01,patrick.kimber,119.60,006245,dev,True
15,2022-07-01,chiverton-john,64.93,006217,dev,True
16,2022-07-01,patrick.kimber,25.80,006245,sys-admin,True
17,2022-07-01,patrick.kimber,60.47,006245,dev,True
18,2022-07-01,chiverton-john,78.93,006217,dev,True
19,2022-07-01,patrick.kimber,0.72,006245,email,True
20,2022-07-01,patrick.kimber,12.50,006204,email,False
21,2022-07-01,patrick.kimber,0.75,006248,email,True
22,2022-07-01,patrick.kimber,5.87,006248,sys-admin,True
23,2022-07-01,patrick.kimber,14.32,006107,sys-admin,True
24,2022-07-01,patrick.kimber,3.03,006246,email,True
25,2022-07-01,patrick.kimber,7.33,000343,review,False
26,2022-07-01,patrick.kimber,4.73,005090,email,False
27,2022-07-01,patrick.kimber,15.02,005090,dev,False
28,2022-07-01,patrick.kimber,26.30,006250,learn,False
29,2022-07-01,chiverton-john,248.95,006217,dev,True
30,2022-07-01,patrick.kimber,8.43,005090,email,False
31,2022-07-01,patrick.kimber,0.27,006248,sys-admin,False
32,2022-07-02,chiverton-john,1.87,006230,review,False
33,2022-07-02,chiverton-john,2.68,006217,dev,True
34,2022-07-02,patrick.kimber,44.70,000394,sys-admin,False
35,2022-07-02,chiverton-john,134.53,006217,dev,True
36,2022-07-02,patrick.kimber,4.10,006245,email,True
37,2022-07-03,patrick.kimber,15.53,006217,dev,False
38,2022-07-03,patrick.kimber,79.90,000124,learn,False
39,2022-07-03,patrick.kimber,1.98,006217,dev,False
40,2022-07-03,patrick.kimber,26.25,000124,learn,False
41,2022-07-04,patrick.kimber,2.67,006217,talk,False
42,2022-07-04,patrick.kimber,1.88,000343,review,False
43,2022-07-04,patrick.kimber,2.47,005523,talk,False
44,2022-07-04,patrick.kimber,1.98,006217,review,False
45,2022-07-04,patrick.kimber,4.82,005071,review,False
46,2022-07-04,patrick.kimber,2.85,006251,review,False
47,2022-07-04,patrick.kimber,1.37,006252,email,False
48,2022-07-04,patrick.kimber,11.77,006252,email,False
49,2022-07-04,patrick.kimber,12.65,003900,sys-admin,False
50,2022-07-04,patrick.kimber,29.12,006217,talk,True
51,2022-07-04,chiverton-john,0.63,006217,review,False
52,2022-07-04,patrick.kimber,33.50,006252,sys-admin,False
53,2022-07-04,chiverton-john,0.92,006217,review,True
54,2022-07-04,patrick.kimber,14.55,006252,email,False
55,2022-07-04,patrick.kimber,13.82,006237,email,True
56,2022-07-04,chiverton-john,75.00,006217,review,True
57,2022-07-04,patrick.kimber,2.18,003900,help,False
58,2022-07-04,patrick.kimber,1.22,006252,email,False
59,2022-07-04,patrick.kimber,3.60,003900,help,False
60,2022-07-04,patrick.kimber,17.88,006252,email,False
61,2022-07-04,malcolm.dinsmore,21.00,006224,,True
62,2022-07-04,patrick.kimber,11.37,006252,sys-admin,False
63,2022-07-04,patrick.kimber,21.15,003900,talk,False
64,2022-07-04,patrick.kimber,11.97,006252,sys-admin,False
65,2022-07-04,patrick.kimber,16.12,003900,talk,False
66,2022-07-04,patrick.kimber,13.88,006252,sys-admin,False
67,2022-07-04,patrick.kimber,9.82,006252,talk,False
68,2022-07-04,patrick.kimber,19.78,006252,sys-admin,False
69,2022-07-04,patrick.kimber,26.55,006252,sys-admin,False
70,2022-07-04,patrick.kimber,18.65,006252,email,False
71,2022-07-04,chiverton-john,2.33,006217,review,False
72,2022-07-04,patrick.kimber,54.68,006245,dev,True
73,2022-07-04,malcolm.dinsmore,85.00,006224,,True
74,2022-07-04,patrick.kimber,15.58,001907,email,False
75,2022-07-04,patrick.kimber,106.77,001246,sys-admin,False
76,2022-07-04,malcolm.dinsmore,41.00,006224,,True
77,2022-07-04,chiverton-john,0.95,006217,dev,False
78,2022-07-04,chiverton-john,61.83,006217,dev,True
79,2022-07-05,patrick.kimber,9.37,006193,email,True
80,2022-07-05,patrick.kimber,3.12,001907,accounts,False
81,2022-07-05,patrick.kimber,20.13,006193,review,True
82,2022-07-05,chiverton-john,0.50,006217,review,True
83,2022-07-05,chiverton-john,38.67,006217,dev,True
84,2022-07-05,malcolm.dinsmore,67.00,006208,,True
85,2022-07-05,patrick.kimber,9.18,000343,review,False
86,2022-07-05,patrick.kimber,1.05,006252,email,False
